Plot.Myc.Legacy,Species.Myc.Type,Unit,Position,Species,Identifier.1,corrected.percent.C,corrected.percent.N,C:N,C13.corrected,N15.corrected
AM,AM,2_5,Edge,ACRU,2_5 E ACRU,49.96143486,1.979569021,25.23854149,-29.92790778,1.831457712
AM,AM,2_5,Edge,ACRU,2_5 E ACRU,49.88793965,1.836254775,27.16831038,-31.82543929,2.041613843
AM,AM,2_5,Edge,ACRU,2_5 E ACRU,50.00919831,2.238342465,22.34206744,-30.98983874,0.719449749
AM,AM,2_5,Center,PRSE,2_5 C PRSE,50.23547561,4.470319531,11.23755814,-29.5932596,6.243560953
AM,AM,2_5,Center,PRSE,2_5 C PRSE,50.04981806,4.256214775,11.75923225,-30.06239383,4.696354321
AM,AM,2_5,Center,PRSE,2_5 C PRSE,49.81231759,4.218369337,11.80842966,-30.02016448,4.454949641
AM,AM,2_5,Edge,PRSE,2_5 E PRSE,51.00918483,3.284398066,15.53075596,-29.13490179,4.013481905
AM,AM,2_5,Edge,PRSE,2_5 E PRSE,50.16620064,3.595486822,13.95254749,-30.6306789,5.418152094
AM,AM,2_5,Edge,PRSE,2_5 E PRSE,49.95184605,3.095782718,16.13544961,-30.38800889,3.734309148
AM,AM,2_5,Center,ACSA,2_5 C ACSA,49.17238347,2.730745055,18.00694773,-28.47489514,4.480648247
AM,AM,2_5,Center,ACSA,2_5 C ACSA,49.56858572,1.513283114,32.75565905,-28.41875288,0.543844953
AM,AM,2_5,Center,ACSA,2_5 C ACSA,47.53546809,3.079620299,15.43549642,-29.62554122,3.278706592
AM,AM,2_5,Edge,ACSA,2_5 E ACSA,49.09475043,2.135883451,22.98568792,-28.94789338,1.807196531
AM,AM,2_5,Edge,ACSA,2_5 E ACSA,49.8494452,1.732127,28.77932461,-29.62934026,0.959607249
AM,AM,2_5,Edge,ACSA,2_5 E ACSA,49.66085722,2.15501138,23.04435962,-29.4950525,1.361927879
AM,AM,2_5,Edge,ACSA,2_5 E ACSA,50.03597232,1.790517641,27.9449759,-29.30054169,1.786985193
AM,AM,2_5,Center,NYSY,2_5 C NYSY,48.72597265,1.883393482,25.8713716,-29.74409896,4.525214946
AM,AM,2_5,Center,NYSY,2_5 C NYSY,48.24349447,2.232426758,21.61033696,-29.36774308,5.1592751
AM,AM,2_5,Edge,NYSY,2_5 E NYSY,48.75707477,2.529490982,19.27544914,-29.00704779,5.735931168
